,City,Airport,Enplanements,Link,latitude,longitude
42,Cincinnati/Covington,Cincinnati/Northern Kentucky International Airport,3269979.0,/wiki/Cincinnati/Northern_Kentucky_International_Airport,39.04889,-84.66778
43,West Palm Beach,Palm Beach International Airport,3100624.0,/wiki/Palm_Beach_International_Airport,26.6832,-80.0956
44,Hartford,Bradley International Airport,2982194.0,/wiki/Bradley_International_Airport,41.93917,-72.68333
45,Anchorage,Ted Stevens Anchorage International Airport,2563524.0,/wiki/Ted_Stevens_Anchorage_International_Airport,61.17417,-149.99833
46,Memphis,Memphis International Airport,2016089.0,/wiki/Memphis_International_Airport,35.0425,-89.97667
47,Providence,Theodore Francis Green State Airport,1803000.0,/wiki/T._F._Green_Airport,41.72389,-71.42833
48,Reno,Reno/Tahoe International Airport,1771864.0,/wiki/Reno-Tahoe_International_Airport,39.49917,-119.76806
49,Norfolk,Norfolk International Airport,1602631.0,/wiki/Norfolk_International_Airport,36.89472,-76.20111
50,Sanford,Orlando Sanford International Airport,1601614.0,/wiki/Orlando_Sanford_International_Airport,28.77778,-81.2375
51,Tucson,Tucson International Airport,1594594.0,/wiki/Tucson_International_Airport,32.11611,-110.94111
52,"Lihue, Kauai",Lihue Airport,1458940.0,/wiki/Lihue_Airport,21.97611,-159.33889
53,El Paso,El Paso International Airport,1414376.0,/wiki/El_Paso_International_Airport,31.80722,-106.3775
54,Tulsa,Tulsa International Airport,1342315.0,/wiki/Tulsa_International_Airport,36.19833,-95.88806
55,Grand Rapids,Gerald R. Ford International Airport,1334979.0,/wiki/Gerald_R._Ford_International_Airport,42.88083,-85.52278
56,Birmingham,Birmingham–Shuttlesworth International Airport,1304467.0,/wiki/Birmingham%E2%80%93Shuttlesworth_International_Airport,33.56389,-86.75222
57,Des Moines,Des Moines International Airport,1216357.0,/wiki/Des_Moines_International_Airport,41.53389,-93.66306
58,Rochester,Greater Rochester International Airport,1205774.0,/wiki/Greater_Rochester_International_Airport,43.11889,-77.6725
59,St. Petersburg,St. Pete–Clearwater International Airport,1143483.0,/wiki/St._Pete%E2%80%93Clearwater_International_Airport,27.91,-82.6875
60,Pensacola,Pensacola International Airport,1098889.0,/wiki/Pensacola_International_Airport,30.47333,-87.18667
61,Savannah,Savannah/Hilton Head International Airport,1056265.0,/wiki/Savannah/Hilton_Head_International_Airport,32.1275,-81.20222
62,Dayton,James M. Cox Dayton International Airport,1019922.0,/wiki/Dayton_International_Airport,39.90222,-84.21944
63,Syracuse,Syracuse Hancock International Airport,1013149.0,/wiki/Syracuse_Hancock_International_Airport,43.11111,-76.10639
64,Palm Springs,Palm Springs International Airport,995801.0,/wiki/Palm_Springs_International_Airport,33.82972,-116.50667
65,Manchester,Manchester–Boston Regional Airport,995403.0,/wiki/Manchester%E2%80%93Boston_Regional_Airport,42.9325,-71.43556
66,Sarasota,Sarasota–Bradenton International Airport,977530.0,/wiki/Sarasota%E2%80%93Bradenton_International_Airport,27.39556,-82.55444
67,Myrtle Beach,Myrtle Beach International Airport,944849.0,/wiki/Myrtle_Beach_International_Airport,33.67972,-78.92833
68,Knoxville,McGhee Tyson Airport,887103.0,/wiki/McGhee_Tyson_Airport,35.81111,-83.99389
69,Punta Gorda,Punta Gorda Airport,821557.0,/wiki/Punta_Gorda_Airport_(Florida),26.91889,-81.99083
70,Fresno,Fresno Yosemite International Airport,761298.0,/wiki/Fresno_Yosemite_International_Airport,36.77667,-119.71889
71,White Plains,Westchester County Airport,759334.0,/wiki/Westchester_County_Airport,41.06694,-73.7075
72,"Charlotte Amalie, St. Thomas",Cyril E. King Airport,729382.0,/wiki/Cyril_E._King_Airport,18.33722,-64.97333
73,Akron,Akron-Canton Regional Airport,685553.0,/wiki/Akron-Canton_Regional_Airport,40.915,-81.44367
74,Fayetteville,Northwest Arkansas Regional Airport,673810.0,/wiki/Northwest_Arkansas_Regional_Airport,36.28167,-94.30778
75,Colorado Springs,City of Colorado Springs Municipal Airport,657694.0,/wiki/Colorado_Springs_Airport,38.80583,-104.70083
76,"Hilo, Hawaii",Hilo International Airport,640757.0,/wiki/Hilo_International_Airport,19.72028,-155.04833
77,Lexington,Blue Grass Airport,638316.0,/wiki/Blue_Grass_Airport,38.03639,-84.60583
78,Harrisburg,Harrisburg International Airport,636916.0,/wiki/Harrisburg_International_Airport,40.19306,-76.76333
79,Burlington,Burlington International Airport,593311.0,/wiki/Burlington_International_Airport,44.47194,-73.15333
80,Atlantic City,Atlantic City International Airport,589091.0,/wiki/Atlantic_City_International_Airport,39.4575,-74.57722
81,Cedar Rapids,The Eastern Iowa Airport,547786.0,/wiki/The_Eastern_Iowa_Airport,41.8890778,-91.7003306
82,Fairbanks,Fairbanks International Airport,538881.0,/wiki/Fairbanks_International_Airport,64.815,-147.85639
83,Key West,Key West International Airport,497656.0,/wiki/Key_West_International_Airport,24.55611,-81.75944
84,Springfield,Springfield-Branson National Airport,462126.0,/wiki/Springfield-Branson_National_Airport,37.24556,-93.38861
85,Lubbock,Lubbock Preston Smith International Airport,448093.0,/wiki/Lubbock_Preston_Smith_International_Airport,33.66361,-101.82056
86,Billings,Billings Logan International Airport,423213.0,/wiki/Billings_Logan_International_Airport,45.80778,-108.54278
87,Juneau,Juneau International Airport,420442.0,/wiki/Juneau_International_Airport,58.355,-134.57639
